Date,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6)
2018-01-13,,,,,,,,2.0,0.0,2.0,1.0,2.0,7,5.0,1.4,,,,,,,,0.0,0.0,0.0,0.0,1.0,1,0.2,,,,,,,,5.0,0.0,1.0,3.0,1.0,10,2.0,75.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-01-14,5.0,4.0,2.0,1.0,0.0,1.0,0.0,,,,,,13,7.0,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,6.0,10.0,4.0,3.0,5.0,4.0,5.0,,,,,,37,5.285714285714286,74.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-01-16,1.0,0.0,3.0,0.0,7.0,3.0,2.0,0.0,4.0,2.0,1.0,1.0,24,12.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0.6666666666666666,3.0,7.0,5.0,3.0,3.0,4.0,7.0,4.0,3.0,7.0,1.0,1.0,48,4.0,73.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2018-01-18,5.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,16,12.0,1.3333333333333333,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,7,0.5833333333333334,10.0,10.0,4.0,5.0,5.0,6.0,6.0,2.0,5.0,7.0,3.0,0.0,63,5.25,73.2,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-01-20,,,,,,,,2.0,2.0,3.0,3.0,3.0,13,5.0,2.6,,,,,,,,1.0,0.0,0.0,0.0,0.0,1,0.2,,,,,,,,2.0,2.0,14.0,1.0,1.0,20,4.0,74.4,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-01-21,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,8,7.0,1.1428571428571428,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,3,0.42857142857142855,8.0,7.0,5.0,6.0,6.0,1.0,5.0,,,,,,38,5.428571428571429,73.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-01-23,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,16,12.0,1.3333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4166666666666667,11.0,11.0,18.0,6.0,9.0,5.0,3.0,2.0,1.0,3.0,0.0,1.0,70,5.833333333333333,72.6,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-01-25,3.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,14,12.0,1.1666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.25,3.0,7.0,2.0,1.0,8.0,8.0,1.0,3.0,2.0,0.0,5.0,0.0,40,3.3333333333333335,72.6,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
2018-01-27,,,,,,,,4.0,1.0,2.0,4.0,3.0,14,5.0,2.8,,,,,,,,0.0,0.0,1.0,0.0,0.0,1,0.2,,,,,,,,8.0,6.0,13.0,3.0,5.0,35,7.0,73.8,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-01-28,8.0,0.0,2.0,1.0,0.0,0.0,2.0,,,,,,13,7.0,1.8571428571428572,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,2,0.2857142857142857,5.0,3.0,6.0,7.0,6.0,4.0,2.0,,,,,,33,4.714285714285714,73.4,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-01-30,0.0,2.0,4.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,16,12.0,1.3333333333333333,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,0.0,7.0,10.0,4.0,7.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,37,3.0833333333333335,72.6,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-01,2.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11,12.0,0.9166666666666666,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6,0.5,8.0,8.0,5.0,3.0,3.0,7.0,3.0,1.0,0.0,2.0,5.0,0.0,45,3.75,72.8,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-03,,,,,,,,2.0,0.0,2.0,3.0,2.0,9,5.0,1.8,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,1.0,1.0,7.0,9.0,13.0,31,6.2,73.8,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-02-04,8.0,1.0,0.0,1.0,1.0,0.0,4.0,,,,,,15,7.0,2.142857142857143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,2,0.2857142857142857,6.0,10.0,10.0,2.0,5.0,3.0,3.0,,,,,,39,5.571428571428571,73.4,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-02-06,0.0,6.0,3.0,1.0,6.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,25,12.0,2.0833333333333335,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0.3333333333333333,3.0,14.0,11.0,7.0,9.0,5.0,3.0,3.0,0.0,6.0,6.0,0.0,67,5.583333333333333,72.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-08,0.0,1.0,3.0,1.0,3.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,18,12.0,1.5,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,0.5833333333333334,9.0,7.0,13.0,5.0,7.0,9.0,6.0,0.0,1.0,3.0,5.0,0.0,65,5.416666666666667,73.4,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-10,,,,,,,,6.0,0.0,3.0,1.0,3.0,13,5.0,2.6,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,7.0,1.0,4.0,2.0,3.0,17,3.4,73.8,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-02-11,11.0,0.0,0.0,0.0,5.0,0.0,1.0,,,,,,17,7.0,2.4285714285714284,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,,4,0.5714285714285714,19.0,22.0,15.0,4.0,16.0,5.0,4.0,,,,,,85,12.142857142857142,73.6,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-02-13,1.0,3.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,25,12.0,2.0833333333333335,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,0.4166666666666667,8.0,3.0,12.0,7.0,10.0,8.0,15.0,3.0,1.0,17.0,8.0,2.0,94,7.833333333333333,74.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-15,1.0,2.0,0.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,15,12.0,1.25,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,11,0.9166666666666666,5.0,11.0,10.0,4.0,11.0,11.0,11.0,4.0,4.0,5.0,6.0,0.0,82,6.833333333333333,73.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-17,,,,,,,,1.0,3.0,0.0,3.0,2.0,9,5.0,1.8,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,3.0,0.0,5.0,4.0,3.0,15,3.0,74.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-02-18,7.0,6.0,0.0,1.0,3.0,2.0,1.0,,,,,,20,7.0,2.857142857142857,1.0,2.0,1.0,0.0,2.0,1.0,0.0,,,,,,7,1.0,12.0,17.0,4.0,5.0,6.0,2.0,2.0,,,,,,48,6.857142857142857,73.4,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-02-20,1.0,5.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,22,12.0,1.8333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7,0.5833333333333334,9.0,12.0,16.0,4.0,7.0,7.0,5.0,0.0,5.0,3.0,3.0,0.0,71,5.916666666666667,73.8,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-22,3.0,0.0,3.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,19,12.0,1.5833333333333333,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6,0.5,17.0,7.0,8.0,12.0,14.0,4.0,11.0,3.0,0.0,3.0,3.0,2.0,84,7.0,72.8,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2018-02-24,,,,,,,,3.0,1.0,4.0,2.0,4.0,14,5.0,2.8,,,,,,,,1.0,0.0,0.0,0.0,0.0,1,0.2,,,,,,,,2.0,3.0,10.0,6.0,7.0,28,5.6,73.8,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2018-02-25,12.0,4.0,0.0,0.0,1.0,0.0,2.0,,,,,,19,7.0,2.7142857142857144,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,4,0.5714285714285714,10.0,14.0,17.0,6.0,9.0,6.0,7.0,,,,,,69,9.857142857142858,73.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-02-27,0.0,7.0,1.0,0.0,1.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,20,12.0,1.6666666666666667,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9166666666666666,0.0,20.0,19.0,4.0,10.0,5.0,11.0,0.0,0.0,1.0,0.0,0.0,70,5.833333333333333,72.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
