,Date,Week_Day,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Temperature_Rounded,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6),food_combo,,,,,,,
27,1/21/2018,Sunday,5,2,0,0,0,0,1,,,,,,8,7,1.142857143,0,0,0,1,0,0,2,,,,,,3,0.428571429,8,7,5,6,6,1,5,,,,,,38,5.428571429,73,73,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
28,1/23/2018,Tuesday,2,2,1,2,1,0,2,0,2,3,0,1,16,12,1.333333333,1,1,0,1,1,1,0,0,0,0,0,0,5,0.416666667,11,11,18,6,9,5,3,2,1,3,0,1,70,5.833333333,72.6,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
29,1/25/2018,Thursday,3,5,1,0,1,2,1,0,1,0,0,0,14,12,1.166666667,0,0,0,0,1,1,0,0,0,1,0,0,3,0.25,3,7,2,1,8,8,1,3,2,0,5,0,40,3.333333333,72.6,73,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,3,Bluefish,,,,,,,
30,1/27/2018,Saturday,,,,,,,,4,1,2,4,3,14,5,2.8,,,,,,,,0,0,1,0,0,1,0.2,,,,,,,,8,6,13,3,5,35,7,73.8,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,Herring,,,,,,,
31,1/28/2018,Sunday,8,0,2,1,0,0,2,,,,,,13,7,1.857142857,0,0,0,1,0,1,0,,,,,,2,0.285714286,5,3,6,7,6,4,2,,,,,,33,4.714285714,73.4,73,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,Mackerel,,,,,,,
32,1/30/2018,Tuesday,0,2,4,1,2,4,1,0,0,1,1,0,16,12,1.333333333,0,0,10,1,1,0,0,0,0,0,0,0,12,1,0,7,10,4,7,0,3,0,1,4,1,0,37,3.083333333,72.6,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
33,2/1/2018,Thursday,2,3,0,2,0,0,4,0,0,0,0,0,11,12,0.916666667,0,1,0,1,1,0,3,0,0,0,0,0,6,0.5,8,8,5,3,3,7,3,1,0,2,5,0,45,3.75,72.8,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner_Squid,,,,,,,
34,2/3/2018,Saturday,,,,,,,,2,0,2,3,2,9,5,1.8,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,1,7,9,13,31,6.2,73.8,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,3,Herring,,,,,,,
35,2/4/2018,Sunday,8,1,0,1,1,0,4,,,,,,15,7,2.142857143,0,0,1,0,1,0,0,,,,,,2,0.285714286,6,10,10,2,5,3,3,,,,,,39,5.571428571,73.4,73,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
36,2/6/2018,Tuesday,0,6,3,1,6,4,2,0,0,2,1,0,25,12,2.083333333,0,0,1,0,1,1,1,0,0,0,0,0,4,0.333333333,3,14,11,7,9,5,3,3,0,6,6,0,67,5.583333333,72.8,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
37,2/8/2018,Thursday,0,1,3,1,3,1,6,0,0,1,2,0,18,12,1.5,2,0,2,1,1,0,0,0,0,0,1,0,7,0.583333333,9,7,13,5,7,9,6,0,1,3,5,0,65,5.416666667,73.4,73,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
38,2/10/2018,Saturday,,,,,,,,6,0,3,1,3,13,5,2.6,,,,,,,,0,0,0,0,0,0,0,,,,,,,,7,1,4,2,3,17,3.4,73.8,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,Herring,,,,,,,
39,2/11/2018,Sunday,11,0,0,0,5,0,1,,,,,,17,7,2.428571429,0,0,1,3,0,0,0,,,,,,4,0.571428571,19,22,15,4,16,5,4,,,,,,85,12.14285714,73.6,74,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,Mackerel,,,,,,,
40,2/13/2018,Tuesday,1,3,5,3,3,2,2,0,0,5,1,0,25,12,2.083333333,0,0,0,1,1,1,1,1,0,0,0,0,5,0.416666667,8,3,12,7,10,8,15,3,1,17,8,2,94,7.833333333,74,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
41,2/15/2018,Thursday,1,2,0,6,1,2,3,0,0,0,0,0,15,12,1.25,1,1,0,3,0,1,1,1,0,2,1,0,11,0.916666667,5,11,10,4,11,11,11,4,4,5,6,0,82,6.833333333,73,73,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
42,2/17/2018,Saturday,,,,,,,,1,3,0,3,2,9,5,1.8,,,,,,,,0,0,0,0,0,0,0,,,,,,,,3,0,5,4,3,15,3,74,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,Herring,,,,,,,
43,2/18/2018,Sunday,7,6,0,1,3,2,1,,,,,,20,7,2.857142857,1,2,1,0,2,1,0,,,,,,7,1,12,17,4,5,6,2,2,,,,,,48,6.857142857,73.4,73,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
44,2/20/2018,Tuesday,1,5,2,4,4,0,2,1,0,0,2,1,22,12,1.833333333,1,0,1,1,1,1,1,0,0,0,1,0,7,0.583333333,9,12,16,4,7,7,5,0,5,3,3,0,71,5.916666667,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
45,2/22/2018,Thursday,3,0,3,1,2,3,5,0,0,0,1,1,19,12,1.583333333,0,0,1,0,1,2,1,1,0,0,0,0,6,0.5,17,7,8,12,14,4,11,3,0,3,3,2,84,7,72.8,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
46,2/24/2018,Saturday,,,,,,,,3,1,4,2,4,14,5,2.8,,,,,,,,1,0,0,0,0,1,0.2,,,,,,,,2,3,10,6,7,28,5.6,73.8,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,Herring,,,,,,,
47,2/25/2018,Sunday,12,4,0,0,1,0,2,,,,,,19,7,2.714285714,0,1,0,1,1,1,0,,,,,,4,0.571428571,10,14,17,6,9,6,7,,,,,,69,9.857142857,73,73,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,,Mackerel_Herring,,,,,,,
48,2/27/2018,Tuesday,0,7,1,0,1,4,4,0,2,0,1,0,20,12,1.666666667,0,0,5,3,3,0,0,0,0,0,0,0,11,0.916666667,0,20,19,4,10,5,11,0,0,1,0,0,70,5.833333333,72.8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,
