,Date,Eat_Total,AvgPiecesPerShark,Drop_Total,AvgDropsPerShark,Target_Total,AvgTargetsPerShark,SharkCount,Temperature,Temperature_Rounded,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,food_combo
119,2018-07-03,18,1.5,6,0.5,63,5.25,12,76.6,77,0,0,1,1,0,0,1,1,0,0,0,0,0,1,Squid_Mackerel_Humbolt Squid
120,2018-07-05,19,1.5833333330000001,3,0.25,80,6.666666667,12,76.6,77,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Squid
121,2018-07-07,6,1.2,1,0.2,28,5.6,5,77.2,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
122,2018-07-08,11,1.571428571,1,0.14285714300000002,48,6.857142857,7,77.2,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
123,2018-07-10,25,2.083333333,1,0.083333333,86,7.166666667,12,78.2,78,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Saury
124,2018-07-12,16,1.333333333,1,0.083333333,49,4.083333333,12,78.4,78,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Blue Runner_Squid
125,2018-07-14,10,2.0,0,0.0,36,7.2,5,78.2,78,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
126,2018-07-15,14,2.0,3,0.428571429,35,5.0,7,78.6,79,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
127,2018-07-17,32,2.666666667,1,0.083333333,59,4.916666667,12,78.4,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
128,2018-07-19,25,2.083333333,2,0.166666667,67,5.583333333,12,78.4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,2018-07-21,8,1.6,0,0.0,42,8.4,5,78.6,79,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
130,2018-07-22,13,1.857142857,1,0.14285714300000002,54,7.714285714,7,78.4,78,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
131,2018-07-24,33,2.75,0,0.0,77,6.416666667,12,78.6,79,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Saury
132,2018-07-26,26,2.166666667,2,0.166666667,60,5.0,12,78.6,79,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Blue Runner_Squid
133,2018-07-28,12,2.4,0,0.0,26,5.2,5,78.6,79,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
134,2018-07-29,14,2.0,2,0.28571428600000004,40,5.714285714,7,77.8,78,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
135,2018-07-31,32,2.666666667,6,0.5,99,8.25,12,78.0,78,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
136,2018-08-02,30,2.5,3,0.25,85,7.083333333,12,77.8,78,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
137,2018-08-04,14,2.8,0,0.0,45,9.0,5,78.4,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
138,2018-08-05,12,1.714285714,4,0.571428571,63,9.0,7,78.0,78,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
139,2018-08-07,36,3.0,3,0.25,113,9.416666667000001,12,77.4,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
140,2018-08-09,31,2.583333333,1,0.083333333,111,9.25,12,77.4,77,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
141,2018-08-11,13,2.6,0,0.0,17,3.4,5,78.2,78,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
142,2018-08-12,16,2.285714286,0,0.0,62,8.857142857000001,7,78.0,78,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
143,2018-08-14,32,2.666666667,0,0.0,93,7.75,12,77.6,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
144,2018-08-16,24,2.0,4,0.333333333,65,5.416666667,12,77.4,77,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
145,2018-08-18,10,2.0,0,0.0,20,4.0,5,77.6,78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Herring
146,2018-08-19,15,2.142857143,2,0.28571428600000004,51,7.285714286,7,77.4,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
147,2018-08-21,22,1.8333333330000001,2,0.166666667,62,5.166666667,12,77.2,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
148,2018-08-23,21,1.75,2,0.166666667,54,4.5,12,77.4,77,0,1,1,0,0,0,1,1,1,0,0,0,0,0,Blue Runner_Squid_Salmon
149,2018-08-25,10,2.0,0,0.0,47,9.4,5,78.0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
150,2018-08-26,14,2.0,4,0.571428571,50,7.142857143,7,77.8,78,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
151,2018-08-28,28,2.333333333,4,0.333333333,73,6.083333333,12,77.4,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
152,2018-08-30,26,2.166666667,3,0.25,64,5.333333333,12,76.8,77,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
153,2018-09-01,10,2.0,0,0.0,5,1.0,5,77.4,77,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
154,2018-09-02,14,2.0,1,0.14285714300000002,64,9.142857142999999,7,76.8,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
155,2018-09-04,31,2.583333333,1,0.083333333,59,4.916666667,12,76.6,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
156,2018-09-06,23,1.9166666669999999,1,0.083333333,81,6.75,12,76.8,77,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
157,2018-09-08,8,1.6,0,0.0,36,7.2,5,77.0,77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Herring
158,2018-09-09,18,2.5714285709999998,2,0.28571428600000004,78,11.14285714,7,77.0,77,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
159,2018-09-11,34,2.833333333,1,0.083333333,80,6.666666667,12,76.4,76,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
160,2018-09-13,30,2.5,5,0.41666666700000005,84,7.0,12,76.0,76,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
161,2018-09-15,10,2.0,0,0.0,27,5.4,5,76.0,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
162,2018-09-16,13,1.857142857,1,0.14285714300000002,52,7.428571429,7,76.2,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
163,2018-09-18,35,2.916666667,4,0.333333333,64,5.333333333,12,76.0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Saury
164,2018-09-20,14,1.166666667,7,0.583333333,41,3.416666667,12,76.0,76,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
165,2018-09-22,12,2.4,0,0.0,19,3.8,5,75.8,76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
166,2018-09-23,11,1.571428571,5,0.7142857140000001,42,6.0,7,75.6,76,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Mackerel
167,2018-09-25,27,2.25,5,0.41666666700000005,114,9.5,12,75.0,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
168,2018-09-27,12,1.0,3,0.25,42,3.5,12,75.0,75,0,0,1,0,0,0,1,1,0,0,1,0,0,0,Squid_Bluefish
169,2018-09-29,10,2.0,0,0.0,19,3.8,5,75.6,76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
170,2018-09-30,9,1.285714286,3,0.428571429,27,3.857142857,7,75.4,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
171,2018-10-02,38,3.166666667,9,0.75,91,7.583333333,12,75.0,75,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Saury_Squid
172,2018-10-04,26,2.166666667,2,0.166666667,103,8.583333332999999,12,75.4,75,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Squid_Herring
173,2018-10-06,11,2.2,0,0.0,33,6.6,5,75.8,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
174,2018-10-07,12,1.714285714,3,0.428571429,44,6.285714286,7,75.6,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
175,2018-10-09,22,1.8333333330000001,1,0.083333333,67,5.583333333,12,75.0,75,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
176,2018-10-11,20,1.6666666669999999,1,0.083333333,77,6.416666667,12,75.4,75,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Squid
177,2018-10-13,9,1.8,1,0.2,18,3.6,5,74.4,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
178,2018-10-14,12,1.714285714,3,0.428571429,28,4.0,7,74.2,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
179,2018-10-16,24,2.0,4,0.333333333,84,7.0,12,73.6,74,0,0,0,0,0,0,1,1,1,1,0,0,0,1,Salmon_Bonito_Humbolt Squid
180,2018-10-18,25,2.083333333,1,0.083333333,43,3.583333333,12,73.6,74,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Squid
181,2018-10-20,13,2.6,0,0.0,48,9.6,5,74.2,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
182,2018-10-21,20,2.857142857,1,0.14285714300000002,80,11.42857143,7,73.6,74,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Herring
